text,target,sample_id,review_id,lang,range,aspect_category,sentiment,from,to
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,22,5,EN,"[47,54)",service#general,POSITIVE,47,54
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,22,5,EN,"[73,78)",ambience#general,POSITIVE,73,78
I had the duck breast special on my last visit and it was incredible.,duck breast special,23,5,EN,"[10,29)",food#quality,POSITIVE,10,29
Can't wait wait for my next visit.,,24,5,EN,"[0,0)",restaurant#general,POSITIVE,0,0
And I hate to say this but I doubt I'll ever go back. ,,26,6,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,27,6,EN,"[4,8)",food#quality,NEGATIVE,4,8
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,27,6,EN,"[31,48)",food#quality,NEGATIVE,31,48
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,27,6,EN,"[0,0)",food#quality,NEGATIVE,0,0
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,28,6,EN,"[46,88)",food#quality,POSITIVE,46,88
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,29,6,EN,"[16,30)",food#quality,POSITIVE,16,30
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,29,6,EN,"[16,30)",food#style_options,POSITIVE,16,30
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,31,6,EN,"[142,147)",ambience#general,NEGATIVE,142,147
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,31,6,EN,"[4,9)",ambience#general,POSITIVE,4,9
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,31,6,EN,"[60,64)",ambience#general,NEGATIVE,60,64
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,34,7,EN,"[6,15)",drinks#style_options,POSITIVE,6,15
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",,34,7,EN,"[0,0)",service#general,POSITIVE,0,0
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,35,7,EN,"[4,19)",food#quality,POSITIVE,4,19
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,35,7,EN,"[47,66)",food#quality,POSITIVE,47,66
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,36,7,EN,"[74,81)",service#general,POSITIVE,74,81
we love th pink pony.,pink pony,37,8,EN,"[11,20)",restaurant#general,POSITIVE,11,20
THe perfect spot.,spot,38,8,EN,"[12,16)",restaurant#general,POSITIVE,12,16
Food-awesome.,Food,39,8,EN,"[0,4)",food#quality,POSITIVE,0,4
Service- friendly and attentive.,Service,40,8,EN,"[0,7)",service#general,POSITIVE,0,7
Ambiance- relaxed and stylish.,Ambiance,41,8,EN,"[0,8)",ambience#general,POSITIVE,0,8
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,42,8,EN,"[17,22)",restaurant#general,POSITIVE,17,22
the food is decent.,food,45,9,EN,"[4,8)",food#quality,NEUTRAL,4,8
"however, it's the service that leaves a bad taste in my mouth.",service,46,9,EN,"[18,25)",service#general,NEGATIVE,18,25
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,47,9,EN,"[106,112)",service#general,NEGATIVE,106,112
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,48,9,EN,"[0,0)",service#general,NEGATIVE,0,0
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",,49,9,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
the last time i walked by it looked pretty empty. hmmm.,,50,9,EN,"[0,0)",restaurant#miscellaneous,NEGATIVE,0,0
This place has got to be the best japanese restaurant in the new york area.,place,51,10,EN,"[5,10)",restaurant#general,POSITIVE,5,10
I had a great experience.,,52,10,EN,"[0,0)",restaurant#general,POSITIVE,0,0
Food is great.,Food,53,10,EN,"[0,4)",food#quality,POSITIVE,0,4
Service is top notch.,Service,54,10,EN,"[0,7)",service#general,POSITIVE,0,7
I have been going back again and again.,,55,10,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,56,11,EN,"[42,52)",food#quality,POSITIVE,42,52
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,57,11,EN,"[0,0)",food#quality,POSITIVE,0,0
The sushi seemed pretty fresh and was adequately proportioned.,sushi,58,11,EN,"[4,9)",food#quality,POSITIVE,4,9
The sushi seemed pretty fresh and was adequately proportioned.,sushi,58,11,EN,"[4,9)",food#style_options,POSITIVE,4,9
The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,59,11,EN,"[4,23)",food#style_options,POSITIVE,4,23
We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,60,11,EN,"[26,47)",food#quality,POSITIVE,26,47
Surprisingly nothing could be further from the truth.,,63,12,EN,"[0,0)",restaurant#miscellaneous,POSITIVE,0,0
"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,64,12,EN,"[65,70)",restaurant#miscellaneous,POSITIVE,65,70
The food was well prepared and the service impecable.,food,65,12,EN,"[4,8)",food#quality,POSITIVE,4,8
The food was well prepared and the service impecable.,service,65,12,EN,"[35,42)",service#general,POSITIVE,35,42
I'm going back.,,66,12,EN,"[0,0)",restaurant#general,POSITIVE,0,0
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,68,13,EN,"[0,0)",ambience#general,POSITIVE,0,0
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,70,13,EN,"[4,18)",food#quality,POSITIVE,4,18
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,70,13,EN,"[4,18)",food#style_options,POSITIVE,4,18
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,70,13,EN,"[4,18)",food#prices,POSITIVE,4,18
I will be going back and heartily recommend it!,,71,13,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"It is terrific, as is the value.",,73,14,EN,"[0,0)",food#quality,POSITIVE,0,0
"It is terrific, as is the value.",,73,14,EN,"[0,0)",food#prices,POSITIVE,0,0
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,74,14,EN,"[27,31)",food#style_options,POSITIVE,27,31
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,74,14,EN,"[27,31)",food#quality,POSITIVE,27,31
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,74,14,EN,"[27,31)",food#prices,POSITIVE,27,31
"I am not a vegetarian but, almost all the dishes were great.",dishes,75,14,EN,"[42,48)",food#quality,POSITIVE,42,48
Go hungry and enjoy.,,77,14,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"The food here is rather good, but only if you like to wait for it.",food,78,15,EN,"[4,8)",food#quality,POSITIVE,4,8
"The food here is rather good, but only if you like to wait for it.",,78,15,EN,"[0,0)",service#general,NEGATIVE,0,0
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,79,15,EN,"[11,18)",food#quality,POSITIVE,11,18
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,79,15,EN,"[20,24)",food#quality,POSITIVE,20,24
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,79,15,EN,"[34,39)",food#quality,POSITIVE,34,39
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,79,15,EN,"[49,55)",food#quality,NEGATIVE,49,55
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,79,15,EN,"[60,64)",food#quality,NEGATIVE,60,64
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,80,15,EN,"[4,11)",service#general,NEGATIVE,4,11
"The kitchen however, is almost always slow.",kitchen,81,15,EN,"[4,11)",service#general,NEGATIVE,4,11
"Also, specify if you like your food spicy- its rather bland if you don't.",food,82,15,EN,"[31,35)",food#quality,NEGATIVE,31,35
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,83,15,EN,"[4,12)",ambience#general,POSITIVE,4,12
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,83,15,EN,"[0,0)",restaurant#miscellaneous,POSITIVE,0,0
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,85,16,EN,"[80,84)",location#general,POSITIVE,80,84
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,86,16,EN,"[18,25)",service#general,POSITIVE,18,25
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,86,16,EN,"[36,40)",food#quality,POSITIVE,36,40
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,86,16,EN,"[36,40)",food#prices,POSITIVE,36,40
The lava cake dessert was incredible and I recommend it.,lava cake dessert,87,16,EN,"[4,21)",food#quality,POSITIVE,4,21
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,88,17,EN,"[19,26)",ambience#general,POSITIVE,19,26
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,89,17,EN,"[10,20)",ambience#general,POSITIVE,10,20
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,90,17,EN,"[4,8)",food#quality,POSITIVE,4,8
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,90,17,EN,"[43,60)",food#quality,NEGATIVE,43,60
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,90,17,EN,"[43,60)",food#style_options,POSITIVE,43,60
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,90,17,EN,"[104,112)",food#quality,NEGATIVE,104,112
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,91,17,EN,"[20,28)",ambience#general,POSITIVE,20,28
"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,91,17,EN,"[47,51)",food#quality,NEUTRAL,47,51
IT WAS HORRIBLE.,,93,18,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,94,18,EN,"[4,9)",food#quality,NEGATIVE,4,9
The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,94,18,EN,"[37,43)",food#quality,NEGATIVE,37,43
It looked like shredded cheese partly done - still in strips.,,95,18,EN,"[0,0)",food#quality,NEGATIVE,0,0
This has got to be one of the most overrated restaurants in Brooklyn.,,97,19,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
The pizza is overpriced and soggy.,pizza,98,19,EN,"[4,9)",food#quality,NEGATIVE,4,9
The pizza is overpriced and soggy.,pizza,98,19,EN,"[4,9)",food#prices,NEGATIVE,4,9
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,99,19,EN,"[20,31)",food#quality,POSITIVE,20,31
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,99,19,EN,"[80,85)",food#quality,NEGATIVE,80,85
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,99,19,EN,"[122,127)",food#quality,NEGATIVE,122,127
"A big disappointment, all around.",,100,19,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
I think I've had some the best meals of my life at minnow.,meals,101,20,EN,"[31,36)",food#quality,POSITIVE,31,36
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,102,20,EN,"[4,11)",food#quality,POSITIVE,4,11
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,102,20,EN,"[39,48)",drinks#style_options,POSITIVE,39,48
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,102,20,EN,"[72,76)",food#style_options,POSITIVE,72,76
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,103,20,EN,"[31,42)",food#quality,POSITIVE,31,42
Worth the trip from Manhattan.,,104,20,EN,"[0,0)",restaurant#general,POSITIVE,0,0
Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,106,21,EN,"[5,13)",food#quality,POSITIVE,5,13
Best Pastrami I ever had and great portion without being ridiculous.,portion,106,21,EN,"[35,42)",food#style_options,POSITIVE,35,42
My wife had the fried shrimp which are huge and loved it.,fried shrimp,108,21,EN,"[16,28)",food#style_options,POSITIVE,16,28
My wife had the fried shrimp which are huge and loved it.,fried shrimp,108,21,EN,"[16,28)",food#quality,POSITIVE,16,28
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,110,22,EN,"[105,110)",restaurant#general,POSITIVE,105,110
This place is the most Japanese it can ever get.,place,111,22,EN,"[5,10)",restaurant#miscellaneous,POSITIVE,5,10
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,112,22,EN,"[4,9)",restaurant#miscellaneous,POSITIVE,4,9
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,112,22,EN,"[15,29)",food#style_options,POSITIVE,15,29
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,112,22,EN,"[31,35)",food#quality,POSITIVE,31,35
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,112,22,EN,"[54,63)",service#general,POSITIVE,54,63
This place is worth an one-hour drive.,place,113,22,EN,"[5,10)",restaurant#general,POSITIVE,5,10
"I am so coming back here again, as much as I can.",,114,22,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,115,23,EN,"[0,4)",restaurant#general,POSITIVE,0,4
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,115,23,EN,"[0,4)",ambience#general,POSITIVE,0,4
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,115,23,EN,"[95,103)",food#quality,POSITIVE,95,103
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,115,23,EN,"[123,133)",ambience#general,POSITIVE,123,133
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,115,23,EN,"[70,88)",food#quality,POSITIVE,70,88
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,116,23,EN,"[89,94)",service#general,POSITIVE,89,94
Decent wine at reasonable prices.,wine,118,23,EN,"[7,11)",drinks#quality,NEUTRAL,7,11
Decent wine at reasonable prices.,wine,118,23,EN,"[7,11)",drinks#prices,POSITIVE,7,11
Have been dozens of times and never failed to enjoy the experience.,,119,23,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"Our teenage kids love it, too.",,120,23,EN,"[0,0)",restaurant#general,POSITIVE,0,0
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,121,24,EN,"[89,106)",restaurant#general,POSITIVE,89,106
This is by far my favorite place in the neighborhood.,place,122,24,EN,"[27,32)",restaurant#general,POSITIVE,27,32
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,123,24,EN,"[4,11)",service#general,POSITIVE,4,11
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,123,24,EN,"[30,35)",ambience#general,POSITIVE,30,35
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,123,24,EN,"[54,58)",food#quality,POSITIVE,54,58
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,123,24,EN,"[91,99)",food#style_options,POSITIVE,91,99
I'm partial to the Gnocchi.,Gnocchi,125,24,EN,"[19,26)",restaurant#general,POSITIVE,19,26
This place is incredibly tiny.,place,126,25,EN,"[5,10)",ambience#general,NEGATIVE,5,10
They refuse to seat parties of 3 or more on weekends.,,127,25,EN,"[0,0)",service#general,NEGATIVE,0,0
The hostess is rude to the point of being offensive.,hostess,128,25,EN,"[4,11)",service#general,NEGATIVE,4,11
The food was bland oily.,food,129,25,EN,"[4,8)",food#quality,NEGATIVE,4,8
I just don't understand all the hype...,,130,25,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
"We have been to this place many times, and always have great food, wine, and service.",food,132,26,EN,"[61,65)",food#quality,POSITIVE,61,65
"We have been to this place many times, and always have great food, wine, and service.",wine,132,26,EN,"[67,71)",drinks#quality,POSITIVE,67,71
"We have been to this place many times, and always have great food, wine, and service.",service,132,26,EN,"[77,84)",service#general,POSITIVE,77,84
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,133,26,EN,"[86,90)",service#general,POSITIVE,86,90
As always we had a great glass of wine while we waited.,glass of wine,134,26,EN,"[25,38)",drinks#quality,POSITIVE,25,38
"When we sat, we got great and fast service.",service,135,26,EN,"[35,42)",service#general,POSITIVE,35,42
The people that work there are always so friendly you forget you are in New York sometimes.,people,136,26,EN,"[4,10)",service#general,POSITIVE,4,10
Make sure you try this place as often as you can.,place,137,26,EN,"[23,28)",restaurant#general,POSITIVE,23,28
This is a fun restaurant to go to.,restaurant,138,27,EN,"[14,24)",restaurant#general,POSITIVE,14,24
The pizza is yummy and I like the atmoshpere.,pizza,139,27,EN,"[4,9)",food#quality,POSITIVE,4,9
The pizza is yummy and I like the atmoshpere.,atmoshpere,139,27,EN,"[34,44)",ambience#general,POSITIVE,34,44
But the pizza is way to expensive.,pizza,140,27,EN,"[8,13)",food#prices,NEGATIVE,8,13
I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,142,28,EN,"[17,22)",food#quality,NEGATIVE,17,22
Sauce was watery and the food didn't have much flavor.,Sauce,143,28,EN,"[0,5)",food#quality,NEGATIVE,0,5
Sauce was watery and the food didn't have much flavor.,food,143,28,EN,"[25,29)",food#quality,NEGATIVE,25,29
I don't think I would go again.,,145,28,EN,"[0,0)",restaurant#general,NEGATIVE,0,0
This place is great.,place,146,29,EN,"[5,10)",restaurant#general,POSITIVE,5,10
I had a huge group for my birthday and we were well taken care of.,,147,29,EN,"[0,0)",service#general,POSITIVE,0,0
The waitress was very patient with us and the food is phenomenal!,waitress,148,29,EN,"[4,12)",service#general,POSITIVE,4,12
The waitress was very patient with us and the food is phenomenal!,food,148,29,EN,"[46,50)",food#quality,POSITIVE,46,50
"Service was prompt, friendly and great.",Service,149,29,EN,"[0,7)",service#general,POSITIVE,0,7
Slightly on the pricey side but worth it!,,150,29,EN,"[0,0)",restaurant#prices,NEGATIVE,0,0
Slightly on the pricey side but worth it!,,150,29,EN,"[0,0)",restaurant#general,POSITIVE,0,0
Great pizza and fantastic service.,pizza,151,30,EN,"[6,11)",food#quality,POSITIVE,6,11
Great pizza and fantastic service.,service,151,30,EN,"[26,33)",service#general,POSITIVE,26,33
"There was a small wait, but shorter than I expected.",wait,152,30,EN,"[18,22)",service#general,POSITIVE,18,22
Located at the end of a magnificent block.,,153,30,EN,"[0,0)",location#general,POSITIVE,0,0
Very cozy and warm inside.....,,154,30,EN,"[0,0)",ambience#general,POSITIVE,0,0
I will be back!,,155,30,EN,"[0,0)",restaurant#general,POSITIVE,0,0
This is the best sushi in new york city - hands down.,sushi,156,31,EN,"[17,22)",food#quality,POSITIVE,17,22
The place is small and cramped but the food is fantastic.,place,157,31,EN,"[4,9)",ambience#general,NEGATIVE,4,9
The place is small and cramped but the food is fantastic.,food,157,31,EN,"[39,43)",food#quality,POSITIVE,39,43
Get the tuna of gari.,tuna of gari,158,31,EN,"[8,20)",food#quality,POSITIVE,8,20
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,160,32,EN,"[75,80)",food#quality,POSITIVE,75,80
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,160,32,EN,"[103,112)",food#quality,POSITIVE,103,112
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,160,32,EN,"[0,15)",restaurant#general,POSITIVE,0,15
"With the great variety on the menu , I eat here often and never get bored .",menu,161,32,EN,"[30,34)",food#style_options,POSITIVE,30,34
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,162,32,EN,"[4,14)",ambience#general,NEGATIVE,4,14
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",,162,32,EN,"[0,0)",restaurant#prices,POSITIVE,0,0
It's all about the food !!,food,163,32,EN,"[19,23)",food#quality,POSITIVE,19,23
first it took us a long time to find the place.,place,165,33,EN,"[41,46)",restaurant#miscellaneous,NEGATIVE,41,46
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,167,33,EN,"[26,30)",food#style_options,NEGATIVE,26,30
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,169,33,EN,"[6,11)",food#style_options,NEUTRAL,6,11
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,169,33,EN,"[6,11)",food#quality,NEGATIVE,6,11
"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,169,33,EN,"[39,46)",food#quality,NEGATIVE,39,46
"they were dry and disgusting, i didn't even finish my first piece.",,170,33,EN,"[0,0)",food#quality,NEGATIVE,0,0
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,,171,34,EN,"[0,0)",service#general,POSITIVE,0,0
"Try the crunchy tuna, it is to die for.",crunchy tuna,172,34,EN,"[8,20)",food#quality,POSITIVE,8,20
"Try everything for that matter, it is all good.",,173,34,EN,"[0,0)",food#quality,POSITIVE,0,0
I have been going there since it opened and I can't get enough.,,174,34,EN,"[0,0)",restaurant#general,POSITIVE,0,0
First went here to enjoy their garden terrace.,garden terrace,175,35,EN,"[31,45)",ambience#general,POSITIVE,31,45
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,176,35,EN,"[4,8)",food#quality,POSITIVE,4,8
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,176,35,EN,"[30,37)",service#general,POSITIVE,30,37
"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,177,35,EN,"[4,17)",food#style_options,POSITIVE,4,17
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,178,35,EN,"[71,83)",ambience#general,POSITIVE,71,83
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,178,35,EN,"[34,44)",ambience#general,NEGATIVE,34,44
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,179,35,EN,"[6,20)",drinks#style_options,POSITIVE,6,20
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,179,35,EN,"[22,30)",drinks#quality,POSITIVE,22,30
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,179,35,EN,"[59,74)",drinks#prices,POSITIVE,59,74
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,180,35,EN,"[0,0)",ambience#general,NEUTRAL,0,0
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,180,35,EN,"[44,48)",ambience#general,POSITIVE,44,48
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,180,35,EN,"[76,87)",food#quality,POSITIVE,76,87
