,input_string,output_string
65,"The food here is rather good, but only if you like to wait for it.","(""food#quality"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
66,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
67,"The service varys from day to day- sometimes they're very nice, and sometimes not.","(""service#general"", ""NEGATIVE"")"
68,"The kitchen however, is almost always slow.","(""service#general"", ""NEGATIVE"")"
69,"Also, specify if you like your food spicy- its rather bland if you don't.","(""food#quality"", ""NEGATIVE"")"
70,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","(""ambience#general"", ""POSITIVE""); (""restaurant#miscellaneous"", ""POSITIVE"")"
71,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"(""location#general"", ""POSITIVE"")"
72,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
73,The lava cake dessert was incredible and I recommend it.,"(""food#quality"", ""POSITIVE"")"
74,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","(""ambience#general"", ""POSITIVE"")"
75,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","(""ambience#general"", ""POSITIVE"")"
76,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE""); (""food#style_options"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
77,"However, go for the ambience, and consider the food just a companion for a trip across the world!","(""ambience#general"", ""POSITIVE""); (""food#quality"", ""NEUTRAL"")"
78,IT WAS HORRIBLE.,"(""restaurant#general"", ""NEGATIVE"")"
79,The pizza was delivered cold and the cheese wasn't even fully melted!,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
80,It looked like shredded cheese partly done - still in strips.,"(""food#quality"", ""NEGATIVE"")"
81,This has got to be one of the most overrated restaurants in Brooklyn.,"(""restaurant#general"", ""NEGATIVE"")"
82,The pizza is overpriced and soggy.,"(""food#quality"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
83,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
84,"A big disappointment, all around.","(""restaurant#general"", ""NEGATIVE"")"
85,I think I've had some the best meals of my life at minnow.,"(""food#quality"", ""POSITIVE"")"
86,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","(""food#quality"", ""POSITIVE""); (""drinks#style_options"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
87,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,"(""food#quality"", ""POSITIVE"")"
88,Worth the trip from Manhattan.,"(""restaurant#general"", ""POSITIVE"")"
89,Best Pastrami I ever had and great portion without being ridiculous.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
90,My wife had the fried shrimp which are huge and loved it.,"(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
91,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","(""restaurant#general"", ""POSITIVE"")"
92,This place is the most Japanese it can ever get.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
93,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","(""restaurant#miscellaneous"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
94,This place is worth an one-hour drive.,"(""restaurant#general"", ""POSITIVE"")"
95,"I am so coming back here again, as much as I can.","(""restaurant#general"", ""POSITIVE"")"
96,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","(""restaurant#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
97,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","(""service#general"", ""POSITIVE"")"
98,Decent wine at reasonable prices.,"(""drinks#quality"", ""NEUTRAL""); (""drinks#prices"", ""POSITIVE"")"
99,Have been dozens of times and never failed to enjoy the experience.,"(""restaurant#general"", ""POSITIVE"")"
100,"Our teenage kids love it, too.","(""restaurant#general"", ""POSITIVE"")"
101,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","(""restaurant#general"", ""POSITIVE"")"
102,This is by far my favorite place in the neighborhood.,"(""restaurant#general"", ""POSITIVE"")"
103,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","(""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
104,I'm partial to the Gnocchi.,"(""restaurant#general"", ""POSITIVE"")"
105,This place is incredibly tiny.,"(""ambience#general"", ""NEGATIVE"")"
106,They refuse to seat parties of 3 or more on weekends.,"(""service#general"", ""NEGATIVE"")"
107,The hostess is rude to the point of being offensive.,"(""service#general"", ""NEGATIVE"")"
108,The food was bland oily.,"(""food#quality"", ""NEGATIVE"")"
109,I just don't understand all the hype...,"(""restaurant#general"", ""NEGATIVE"")"
110,"We have been to this place many times, and always have great food, wine, and service.","(""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
111,"We were worried we would have trouble getting in, but somehow managed to have a short wait.","(""service#general"", ""POSITIVE"")"
112,As always we had a great glass of wine while we waited.,"(""drinks#quality"", ""POSITIVE"")"
113,"When we sat, we got great and fast service.","(""service#general"", ""POSITIVE"")"
114,The people that work there are always so friendly you forget you are in New York sometimes.,"(""service#general"", ""POSITIVE"")"
115,Make sure you try this place as often as you can.,"(""restaurant#general"", ""POSITIVE"")"
116,This is a fun restaurant to go to.,"(""restaurant#general"", ""POSITIVE"")"
117,The pizza is yummy and I like the atmoshpere.,"(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
118,But the pizza is way to expensive.,"(""food#prices"", ""NEGATIVE"")"
119,I went there for lunch and it was not as good as I expected from the reviews I read.,"(""food#quality"", ""NEGATIVE"")"
120,Sauce was watery and the food didn't have much flavor.,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
121,I don't think I would go again.,"(""restaurant#general"", ""NEGATIVE"")"
122,This place is great.,"(""restaurant#general"", ""POSITIVE"")"
123,I had a huge group for my birthday and we were well taken care of.,"(""service#general"", ""POSITIVE"")"
124,The waitress was very patient with us and the food is phenomenal!,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
125,"Service was prompt, friendly and great.","(""service#general"", ""POSITIVE"")"
126,Slightly on the pricey side but worth it!,"(""restaurant#prices"", ""NEGATIVE""); (""restaurant#general"", ""POSITIVE"")"
127,Great pizza and fantastic service.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
128,"There was a small wait, but shorter than I expected.","(""service#general"", ""POSITIVE"")"
129,Located at the end of a magnificent block.,"(""location#general"", ""POSITIVE"")"
130,Very cozy and warm inside.....,"(""ambience#general"", ""POSITIVE"")"
131,I will be back!,"(""restaurant#general"", ""POSITIVE"")"
132,This is the best sushi in new york city - hands down.,"(""food#quality"", ""POSITIVE"")"
133,The place is small and cramped but the food is fantastic.,"(""ambience#general"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
134,Get the tuna of gari.,"(""food#quality"", ""POSITIVE"")"
135,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""restaurant#general"", ""POSITIVE"")"
136,"With the great variety on the menu , I eat here often and never get bored .","(""food#style_options"", ""POSITIVE"")"
137,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","(""ambience#general"", ""NEGATIVE""); (""restaurant#prices"", ""POSITIVE"")"
138,It's all about the food !!,"(""food#quality"", ""POSITIVE"")"
139,first it took us a long time to find the place.,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
140,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","(""food#style_options"", ""NEGATIVE"")"
141,"those rolls were big, but not good and sashimi wasn't fresh.","(""food#style_options"", ""NEUTRAL""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
142,"they were dry and disgusting, i didn't even finish my first piece.","(""food#quality"", ""NEGATIVE"")"
143,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,"(""service#general"", ""POSITIVE"")"
144,"Try the crunchy tuna, it is to die for.","(""food#quality"", ""POSITIVE"")"
145,"Try everything for that matter, it is all good.","(""food#quality"", ""POSITIVE"")"
146,I have been going there since it opened and I can't get enough.,"(""restaurant#general"", ""POSITIVE"")"
147,First went here to enjoy their garden terrace.,"(""ambience#general"", ""POSITIVE"")"
148,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
149,"The Steak Tartare is a great bet, they fix it for you at the table.","(""food#style_options"", ""POSITIVE"")"
150,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE"")"
151,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","(""drinks#style_options"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
152,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","(""ambience#general"", ""NEUTRAL""); (""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
153,"Have recommended the place to friends, always gets good response.","(""restaurant#miscellaneous"", ""POSITIVE"")"
154,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
155,I take all my NYC guests to VT's.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
156,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","(""location#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
157,I've been there three times and have always had wonderful experiences.,"(""restaurant#general"", ""POSITIVE"")"
158,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"(""ambience#general"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""restaurant#miscellaneous"", ""POSITIVE"")"
159,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,"(""restaurant#general"", ""POSITIVE"")"
160,Even after they overcharged me the last time I was there.,"(""service#general"", ""NEGATIVE"")"
161,Make sure you have the Spicy Scallop roll.. .,"(""food#quality"", ""POSITIVE"")"
162,it's delicious!,"(""food#quality"", ""POSITIVE"")"
163,"Moules were excellent, lobster ravioli was VERY salty!","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
164,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","(""service#general"", ""NEGATIVE"")"
165,"Told us to sit anywhere, and when we sat he said the table was reserved.","(""service#general"", ""NEGATIVE"")"
166,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,"(""service#general"", ""NEGATIVE"")"
167,Tiny dessert was $8.00...just plain overpriced for what it is.,"(""food#quality"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
168,The drinks are always welll made and wine selection is fairly priced.,"(""drinks#quality"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
169,Try their chef's specials-- they are to die for.,"(""food#quality"", ""POSITIVE"")"
170,"Service is not exactly five star, but thats not really a big deal.","(""service#general"", ""NEUTRAL"")"
171,Downstairs lounge is always a good attraction,"(""ambience#general"", ""POSITIVE"")"
172,"Raga's is a romantic, cozy restaurant.","(""ambience#general"", ""POSITIVE"")"
173,The exotic food is beautifully presented and is a delight in delicious combinations.,"(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
174,It is also extremely well priced.,"(""food#prices"", ""POSITIVE"")"
175,The staff is incredibly helpful and attentive.,"(""service#general"", ""POSITIVE"")"
176,The bar is very well stocked with interesting beers and well priced wines.,"(""drinks#style_options"", ""POSITIVE""); (""drinks#style_options"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
177,This is one of my favorite restaurants and it is not to be missed.,"(""restaurant#general"", ""POSITIVE"")"
178,Your friends will thank you for introducing them to this gem!,"(""restaurant#general"", ""POSITIVE"")"
179,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","(""restaurant#general"", ""NEGATIVE"")"
180,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","(""service#general"", ""NEGATIVE"")"
181,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ","(""service#general"", ""NEGATIVE"")"
182,Such a disappointment...,"(""service#general"", ""NEGATIVE"")"
183,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","(""service#general"", ""NEGATIVE""); (""food#quality"", ""NEUTRAL""); (""restaurant#general"", ""NEGATIVE"")"
184,I had a grat time at Jekyll and Hyde!,"(""restaurant#general"", ""POSITIVE"")"
185,I loved everythig about it-especially the shows and actors.,"(""restaurant#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
186,Our server was very helpful and friendly.,"(""service#general"", ""POSITIVE"")"
187,I am bringing my whole family back next time.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
188,The food was good too.,"(""food#quality"", ""POSITIVE"")"
189,The tuna and wasabe potatoes are excellent.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
190,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"(""location#general"", ""POSITIVE"")"
191,"Inside is a little cramped, but to be expected.","(""ambience#general"", ""NEUTRAL"")"
192,Service was prompt and courteous.,"(""service#general"", ""POSITIVE"")"
193,This was a repeat visit and we'll definitely be back again.,"(""restaurant#general"", ""POSITIVE"")"
194,"Great service, great food.","(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
195,Prices are in line.,"(""restaurant#prices"", ""NEUTRAL"")"
196,But too far east!,"(""location#general"", ""NEGATIVE"")"
197,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
198,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","(""food#style_options"", ""NEGATIVE"")"
199,"Also, because it is so thin, it gets cold very quickly and its not that filling.","(""food#quality"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE"")"
200,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"(""service#general"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
201,By far the best salad I have had in a fast food restaurant.,"(""food#quality"", ""POSITIVE"")"
202,fine dining restaurant quality.,"(""food#quality"", ""POSITIVE"")"
203,Over 100 different choices to create your own.,"(""food#style_options"", ""POSITIVE"")"
204,A must try!,"(""restaurant#general"", ""POSITIVE"")"
205,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.","(""restaurant#general"", ""POSITIVE"")"
206,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
207,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
208,"With so many poor experiences to be had in the theater district, is truly an excellent find!","(""restaurant#general"", ""POSITIVE"")"
209,We will return many times for this oasis in mid-town.,"(""restaurant#general"", ""POSITIVE"")"
210,The staff is no nonsense.,"(""service#general"", ""POSITIVE"")"
211,The food options rule.,"(""food#style_options"", ""POSITIVE"")"
212,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,"(""food#quality"", ""POSITIVE"")"
213,Worth visiting the 1st Ave spot because it is the original store.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
214,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!","(""food#quality"", ""POSITIVE"")"
215,The sake menu should not be overlooked!,"(""drinks#style_options"", ""POSITIVE"")"
216,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","(""restaurant#general"", ""POSITIVE"")"
217,Try the lobster teriyaki and the rose special roll.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
218,"Service was very good - prompt, attentive and non-intrusive.","(""service#general"", ""POSITIVE"")"
219,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
220,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"(""drinks#style_options"", ""POSITIVE""); (""drinks#style_options"", ""POSITIVE"")"
221,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE"")"
222,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.","(""restaurant#general"", ""POSITIVE"")"
223,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ","(""service#general"", ""NEUTRAL"")"
224,"Seating is always prompt, though the restaurant does fill up in the evening.","(""service#general"", ""POSITIVE"")"
225,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
226,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","(""service#general"", ""NEUTRAL"")"
227,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
228,I have NEVER been disappointed in the Red Eye.,"(""restaurant#general"", ""POSITIVE"")"
229,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
230,It's simply the best meal in NYC.,"(""food#quality"", ""POSITIVE"")"
231,You cannot go wrong at the Red Eye Grill.,"(""restaurant#general"", ""POSITIVE"")"
232,"If we were to move from the upper east side, we would genuinely miss this restaurant.","(""restaurant#general"", ""POSITIVE"")"
233,The restaurant is cute but not upscale.,"(""restaurant#general"", ""NEUTRAL"")"
234,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
235,I would highly recommend it.,"(""restaurant#general"", ""POSITIVE"")"
236,It's one of our favorite places to eat in NY.,"(""restaurant#general"", ""POSITIVE"")"
237,We had a great time at the Jekyll and hyde Pub last night.,"(""restaurant#general"", ""POSITIVE"")"
238,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
239,The server was really cool and served us our food and drinks with a smile.,"(""service#general"", ""POSITIVE"")"
240,The place's decor and hidden bathrooms made for a good laugh.,"(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
241,I highly recommend visiting this restaurant and having dinner and drinks!,"(""restaurant#general"", ""POSITIVE"")"
242,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.","(""restaurant#miscellaneous"", ""POSITIVE"")"
243,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.","(""restaurant#general"", ""POSITIVE"")"
